epoch,phase,loss
0,val,0.3585732877254486
0,train,0.630628228187561
0,val,0.011216985061764717
1,train,0.010235534980893135
1,val,0.0051145050674676895
2,train,0.003967048600316048
2,val,0.002590639516711235
3,train,0.0030128739308565855
3,val,0.00433986634016037
4,train,0.0027836940716952085
4,val,0.002483394229784608
5,train,0.009060551412403584
5,val,0.037871524691581726
6,train,0.057411354035139084
6,val,0.0020539360120892525
7,train,0.002004957990720868
7,val,0.0013867050874978304
8,train,0.003911261446774006
8,val,0.002006273018196225
9,train,0.002107128268107772
9,val,0.002273313235491514
10,train,0.002624019980430603
10,val,0.001646729069761932
11,train,0.0035226820036768913
11,val,0.008297218009829521
12,train,0.002410113113000989
12,val,0.0008989888010546565
13,train,0.0017300687031820416
13,val,0.0023908442817628384
14,train,0.0018004181329160929
0,val,0.3530174493789673
0,train,0.5076797008514404
0,val,0.3050999641418457
0,train,0.42741888761520386
0,val,0.005923645570874214
1,train,0.00891912542283535
1,val,0.0032094703055918217
2,train,0.019867993891239166
2,val,0.002496488858014345
3,train,0.004437735304236412
3,val,0.006257703062146902
4,train,0.0033349506556987762
4,val,0.0039912136271595955
5,train,0.0034605846740305424
5,val,0.006931342650204897
6,train,0.002448512241244316
6,val,0.003852126421406865
7,train,0.003524916945025325
7,val,0.0014330889098346233
8,train,0.002774474211037159
8,val,0.0016951295547187328
9,train,0.0016695207450538874
9,val,0.0023477182257920504
10,train,0.028090359643101692
10,val,0.016306549310684204
11,train,0.0021370151080191135
11,val,0.005153187550604343
12,train,0.002894922159612179
12,val,0.0012861001305282116
13,train,0.0012527921935543418
13,val,0.0011972610373049974
14,train,0.0010622768895700574
14,val,0.0074891746044158936
15,train,0.001868157647550106
15,val,0.0017614965327084064
16,train,0.0013069305568933487
16,val,0.0011373806046321988
17,train,0.0013009696267545223
17,val,0.0014380073407664895
18,train,0.0019239980028942227
18,val,0.016734685748815536
19,train,0.0014256241265684366
19,val,0.0017296106088906527
20,train,0.001398144755512476
20,val,0.0020270778331905603
21,train,0.0014062731061130762
21,val,0.0010110208531841636
22,train,0.0010364786721765995
22,val,0.0007145173731260002
23,train,0.001447568996809423
23,val,0.0010870709083974361
24,train,0.0012854328379034996
24,val,0.003524336963891983
25,train,0.0025736154057085514
25,val,0.001813617069274187
26,train,0.001871116692200303
26,val,0.0019642123952507973
27,train,0.000933755945879966
27,val,0.004197507165372372
28,train,0.001389988581649959
28,val,0.001184678403660655
29,train,0.0011381306685507298
29,val,0.0009561670594848692
30,train,0.0032854191958904266
30,val,0.0020047412253916264
31,train,0.004525031428784132
31,val,0.003824131563305855
32,train,0.0011803320376202464
32,val,0.0026996894739568233
33,train,0.0018584210192784667
33,val,0.0004562863614410162
34,train,0.0008836367633193731
34,val,0.0015233370941132307
35,train,0.0008905159775167704
35,val,0.0007052629953250289
36,train,0.0009973427513614297
36,val,0.0006111835828050971
37,train,0.0007707813056185842
37,val,0.0005614532856270671
38,train,0.002964639337733388
38,val,0.0009715032647363842
39,train,0.0012444965541362762
39,val,0.003920620307326317
40,train,0.0013224930735304952
40,val,0.00031259364914149046
41,train,0.0007461936329491436
41,val,0.0023352704010903835
42,train,0.0006770908366888762
42,val,0.0003700502566061914
43,train,0.0022727379109710455
43,val,0.0017908484442159534
44,train,0.0008311453275382519
44,val,0.0004679834237322211
45,train,0.00041699118446558714
45,val,0.008434847928583622
46,train,0.0005730550037696958
46,val,0.0012375549413263798
0,val,1.6740655899047852
0,train,1.9869900941848755
0,val,0.08314982056617737
1,train,0.08177026361227036
1,val,0.08392712473869324
2,train,0.04143909737467766
2,val,0.09589792788028717
3,train,0.06075156480073929
3,val,0.044471293687820435
4,train,0.029181744903326035
4,val,0.027255821973085403
5,train,0.054487913846969604
5,val,0.03271539509296417
6,train,0.02413746528327465
6,val,0.03769784793257713
7,train,0.04091377183794975
7,val,0.028177466243505478
8,train,0.03304946422576904
8,val,0.013977485708892345
9,train,0.046400122344493866
9,val,0.05663560330867767
10,train,0.02141597494482994
10,val,0.022810539230704308
11,train,0.017644543200731277
11,val,0.018063601106405258
12,train,0.021994447335600853
12,val,0.023593170568346977
13,train,0.01871093362569809
13,val,0.03260068967938423
14,train,0.024559255689382553
14,val,0.013376672752201557
15,train,0.024041587486863136
15,val,0.049824535846710205
16,train,0.0165321696549654
16,val,0.01691027358174324
17,train,0.019321974366903305
17,val,0.013241122476756573
18,train,0.015073899179697037
18,val,0.04098490998148918
19,train,0.02407952956855297
19,val,0.02230418100953102
20,train,0.019834287464618683
20,val,0.03571457415819168
21,train,0.010575255379080772
21,val,0.10194557160139084
22,train,0.011346651241183281
22,val,0.018094900995492935
23,train,0.01045441534370184
23,val,0.02948484569787979
24,train,0.034047286957502365
24,val,0.04013868048787117
25,train,0.061217598617076874
25,val,0.012823883444070816
26,train,0.04305853694677353
26,val,0.015677230432629585
27,train,0.011860400438308716
27,val,0.01758110523223877
28,train,0.010470833629369736
28,val,0.014250129461288452
29,train,0.0161583349108696
29,val,0.014116927981376648
30,train,0.011123652569949627
30,val,0.017345048487186432
31,train,0.011052841320633888
31,val,0.013683355413377285
32,train,0.015138128772377968
32,val,0.015350673347711563
33,train,0.012865020893514156
33,val,0.010522715747356415
34,train,0.014930338598787785
34,val,0.04428158700466156
35,train,0.020565073937177658
35,val,0.010817901231348515
36,train,0.01045345701277256
36,val,0.011035483330488205
37,train,0.013965800404548645
37,val,0.014599956572055817
38,train,0.0754965990781784
38,val,0.012453539296984673
39,train,0.010689683258533478
39,val,0.027451004832983017
40,train,0.015120098367333412
40,val,0.007750591728836298
41,train,0.006230511236935854
41,val,0.010983072221279144
42,train,0.016614127904176712
42,val,0.008172779344022274
43,train,0.009898068383336067
43,val,0.010602452792227268
44,train,0.009417644701898098
44,val,0.010673505254089832
45,train,0.01317684631794691
45,val,0.046482570469379425
46,train,0.0842360109090805
46,val,0.01340598613023758
47,train,0.010269556194543839
47,val,0.009950993582606316
48,train,0.018180085346102715
48,val,0.07342790067195892
49,train,0.011585688218474388
49,val,0.008519764058291912
